episode_index,step_count,observation_state,action_taken,reward_received,terminated
0,112,[-0.0248114  -0.21112967 -0.00357233  0.32552958],0,1.0,False
0,113,[-0.02903399 -0.01595704  0.00293826  0.03172223],1,1.0,False
0,114,[-0.02935313  0.17912266  0.0035727  -0.2600322 ],1,1.0,False
0,115,[-0.02577068 -0.01605012 -0.00162794  0.03377546],0,1.0,False
0,116,[-0.02609168  0.17909513 -0.00095243 -0.25942066],1,1.0,False
0,117,[-0.02250978 -0.0160132  -0.00614084  0.03296171],0,1.0,False
0,118,[-0.02283004 -0.21104656 -0.00548161  0.32370082],0,1.0,False
0,119,[-0.02705097 -0.01584698  0.00099241  0.02929428],1,1.0,False
0,120,[-0.02736791  0.17926073  0.00157829 -0.26307535],1,1.0,False
0,121,[-0.0237827  -0.01588372 -0.00368321  0.03010496],0,1.0,False
0,122,[-0.02410037 -0.21095265 -0.00308112  0.3216235 ],0,1.0,False
0,123,[-0.02831943 -0.01578697  0.00335135  0.02797052],1,1.0,False
0,124,[-0.02863517  0.17928676  0.00391077 -0.26365313],1,1.0,False
0,125,[-0.02504943 -0.01589079 -0.0013623   0.03026072],0,1.0,False
0,126,[-0.02536725 -0.21099317 -0.00075708  0.32251352],0,1.0,False
0,127,[-0.02958711 -0.01586045  0.00569319  0.02959193],1,1.0,False
0,128,[-0.02990432  0.1791794   0.00628503 -0.2612893 ],1,1.0,False
0,129,[-0.02632073 -0.01603171  0.00105924  0.03336934],0,1.0,False
0,130,[-0.02664137  0.17907503  0.00172663 -0.2589792 ],1,1.0,False
0,131,[-0.02305986 -0.01607152 -0.00345296  0.03424783],0,1.0,False
0,132,[-0.02338129 -0.21114379 -0.002768    0.3258393 ],0,1.0,False
0,133,[-0.02760417 -0.01598253  0.00374879  0.03228477],1,1.0,False
0,134,[-0.02792382  0.17908546  0.00439448 -0.25921303],1,1.0,False
0,135,[-0.02434211 -0.01609895 -0.00078978  0.03485274],0,1.0,False
0,136,[-2.4664091e-02  1.7903432e-01 -9.2724564e-05 -2.5807926e-01],1,1.0,False
0,137,[-0.02108341 -0.01608631 -0.00525431  0.03457442],0,1.0,False
0,138,[-0.02140513 -0.21113253 -0.00456282  0.32559493],0,1.0,False
0,139,[-0.02562778 -0.0159459   0.00194908  0.03147659],1,1.0,False
0,140,[-0.0259467   0.17914805  0.00257861 -0.26059076],1,1.0,False
0,141,[-0.02236374 -0.01601062 -0.00263321  0.03290439],0,1.0,False
0,142,[-0.02268395 -0.2110947  -0.00197512  0.32475534],0,1.0,False
0,143,[-0.02690585 -0.0159447   0.00451999  0.03145021],1,1.0,False
0,144,[-0.02722474  0.17911215  0.00514899 -0.2598032 ],1,1.0,False
0,145,[-2.3642497e-02 -1.6082931e-02 -4.7071138e-05  3.4499336e-02],0,1.0,False
0,146,[-0.02396416  0.1790397   0.00064292 -0.25819844],1,1.0,False
0,147,[-0.02038336 -0.01609143 -0.00452105  0.0346872 ],0,1.0,False
0,148,[-0.02070519 -0.21114826 -0.00382731  0.32594028],0,1.0,False
0,149,[-0.02492815 -0.01597202  0.0026915   0.03205283],1,1.0,False
0,150,[-0.0252476   0.17911123  0.00333255 -0.2597797 ],1,1.0,False
0,151,[-0.02166537 -0.01605814 -0.00186304  0.03395251],0,1.0,False
0,152,[-0.02198653  0.17909048 -0.00118399 -0.25931764],1,1.0,False
0,153,[-0.01840472 -0.01601455 -0.00637034  0.0329916 ],0,1.0,False
0,154,[-0.01872502 -0.21104456 -0.00571051  0.32365784],0,1.0,False
0,155,[-0.02294591 -0.01584177  0.00076264  0.02917952],1,1.0,False
0,156,[-0.02326274  0.17926924  0.00134624 -0.2632627 ],1,1.0,False
0,157,[-0.01967736 -0.01587191 -0.00391902  0.02984456],0,1.0,False
0,158,[-0.0199948  -0.21093744 -0.00332213  0.3212884 ],0,1.0,False
0,159,[-0.02421354 -0.01576834  0.00310364  0.02755968],1,1.0,False
0,160,[-0.02452891  0.17930897  0.00365484 -0.2641424 ],1,1.0,False
0,161,[-0.02094273 -0.01586496 -0.00162801  0.02969105],0,1.0,False
0,162,[-0.02126003 -0.21096352 -0.00103419  0.32185987],0,1.0,False
0,163,[-0.0254793  -0.01582686  0.00540301  0.02885099],1,1.0,False
0,164,[-0.02579584  0.17921719  0.00598003 -0.26212233],1,1.0,False
0,165,[-0.02221149 -0.01598961  0.00073758  0.03244074],0,1.0,False
0,166,[-0.02253129  0.17912176  0.00138639 -0.26000938],1,1.0,False
0,167,[-0.01894885 -0.01601996 -0.00381379  0.03311051],0,1.0,False
0,168,[-0.01926925 -0.211087   -0.00315158  0.3245877 ],0,1.0,False
0,169,[-0.02349099 -0.01592033  0.00334017  0.03091257],1,1.0,False
0,170,[-0.0238094   0.17915356  0.00395842 -0.26071462],1,1.0,False
0,171,[-0.02022633 -0.01602467 -0.00125587  0.0332142 ],0,1.0,False
0,172,[-0.02054682  0.17911527 -0.00059159 -0.25986472],1,1.0,False
0,173,[-0.01696451 -0.01599823 -0.00578888  0.03263157],0,1.0,False
0,174,[-0.01728448 -0.21103668 -0.00513625  0.32348242],0,1.0,False
0,175,[-0.02150521 -0.01584198  0.0013334   0.02918418],1,1.0,False
0,176,[-0.02182205  0.17926082  0.00191708 -0.26307774],1,1.0,False
0,177,[-0.01823683 -0.01588844 -0.00334447  0.03020923],0,1.0,False
0,178,[-0.0185546  -0.21096227 -0.00274029  0.32183507],0,1.0,False
0,179,[-0.02277385 -0.0158014   0.00369641  0.02828922],1,1.0,False
0,180,[-0.02308988  0.17926735  0.0042622  -0.26322517],1,1.0,False
0,181,[-0.01950453 -0.01591518 -0.00100231  0.03079906],0,1.0,False
0,182,[-0.01982283  0.17922112 -0.00038632 -0.26219994],1,1.0,False
0,183,[-0.01623841 -0.01589531 -0.00563032  0.03036112],0,1.0,False
0,184,[-0.01655632 -0.21093607 -0.0050231   0.3212623 ],0,1.0,False
0,185,[-0.02077504 -0.01574294  0.00140215  0.02699954],1,1.0,False
0,186,[-0.0210899   0.17935887  0.00194214 -0.26524067],1,1.0,False
0,187,[-0.01750272 -0.01579075 -0.00336268  0.02805419],0,1.0,False
0,188,[-0.01781853 -0.2108643  -0.00280159  0.31967425],0,1.0,False
0,189,[-0.02203582 -0.01570257  0.00359189  0.02610914],1,1.0,False
0,190,[-0.02234987  0.17936768  0.00411408 -0.26543835],1,1.0,False
0,191,[-0.01876252 -0.01581275 -0.00119469  0.02853935],0,1.0,False
0,192,[-0.01907877  0.17932633 -0.0006239  -0.2645203 ],1,1.0,False
0,193,[-0.01549225 -0.01578672 -0.00591431  0.0279658 ],0,1.0,False
0,194,[-0.01580798 -0.21082336 -0.00535499  0.31877685],0,1.0,False
0,195,[-0.02002445 -0.01562555  0.00102054  0.02440997],1,1.0,False
0,196,[-0.02033696  0.17948174  0.00150874 -0.26795077],1,1.0,False
0,197,[-0.01674733 -0.0156617  -0.00385027  0.02520763],0,1.0,False
0,198,[-0.01706056 -0.21072823 -0.00334612  0.31667328],0,1.0,False
0,199,[-0.02127512 -0.01555877  0.00298734  0.02293697],1,1.0,False
0,200,[-0.0215863   0.1795202   0.00344608 -0.26880193],1,1.0,False
0,201,[-0.0179959  -0.01565075 -0.00192996  0.02496593],0,1.0,False
0,202,[-0.01830891 -0.21074498 -0.00143064  0.3170393 ],0,1.0,False
0,203,[-0.02252381 -0.01560267  0.00491015  0.02390555],1,1.0,False
0,204,[-0.02283586  0.17944852  0.00538826 -0.26722413],1,1.0,False
0,205,[-1.9246893e-02 -1.5749916e-02  4.3777833e-05  2.7153410e-02],0,1.0,False
0,206,[-0.01956189  0.1793714   0.00058685 -0.2655157 ],1,1.0,False
0,207,[-0.01597446 -0.01575891 -0.00472347  0.02735226],0,1.0,False
0,208,[-0.01628964 -0.2108128  -0.00417642  0.31854114],0,1.0,False
0,209,[-0.0205059  -0.01563163  0.0021944   0.02454406],1,1.0,False
0,210,[-0.02081853  0.17945878  0.00268528 -0.2674457 ],1,1.0,False
0,211,[-0.01722935 -0.01570139 -0.00266363  0.02608297],0,1.0,False
0,212,[-0.01754338 -0.21078503 -0.00214197  0.3179243 ],0,1.0,False
0,213,[-0.02175908 -0.01563264  0.00421651  0.02456664],1,1.0,False
0,214,[-0.02207174  0.17942859  0.00470785 -0.26678294],1,1.0,False
0,215,[-0.01848316 -0.01576024 -0.00062781  0.02738114],0,1.0,False
0,216,[-1.8798370e-02  1.7937072e-01 -8.0190497e-05 -2.6549980e-01],1,1.0,False
0,217,[-0.01521095 -0.0157501  -0.00539019  0.02715784],0,1.0,False
0,218,[-0.01552596 -0.21079433 -0.00484703  0.31813523],0,1.0,False
0,219,[-0.01974184 -0.01560369  0.00151567  0.02392768],1,1.0,False
0,220,[-0.02005392  0.1794965   0.00199423 -0.26827666],1,1.0,False
0,221,[-0.01646399 -0.01565386 -0.0033713   0.0250346 ],0,1.0,False
0,222,[-0.01677706 -0.2107273  -0.00287061  0.31665194],0,1.0,False
0,223,[-0.02099161 -0.01556458  0.00346243  0.02306511],1,1.0,False
0,224,[-0.0213029   0.17950755  0.00392373 -0.26852337],1,1.0,False
0,225,[-0.01771275 -0.01567018 -0.00144674  0.02539453],0,1.0,False
0,226,[-0.01802615 -0.21077135 -0.00093885  0.31762064],0,1.0,False
0,227,[-0.02224158 -0.01563604  0.00541356  0.02464179],1,1.0,False
0,228,[-0.0225543   0.17940785  0.0059064  -0.2663282 ],1,1.0,False
0,229,[-0.01896615 -0.01579789  0.00057984  0.02821179],0,1.0,False
0,230,[-0.0192821   0.17931575  0.00114407 -0.26428813],1,1.0,False
0,231,[-0.01569579 -0.01582252 -0.00414169  0.02875543],0,1.0,False
0,232,[-0.01601224 -0.21088484 -0.00356658  0.32012874],0,1.0,False
0,233,[-0.02022994 -0.01571227  0.00283599  0.02632318],1,1.0,False
0,234,[-0.02054418  0.1793689   0.00336246 -0.26546362],1,1.0,False
0,235,[-0.0169568  -0.01580089 -0.00194682  0.02827796],0,1.0,False
0,236,[-0.01727282 -0.21089487 -0.00138126  0.32034603],0,1.0,False
0,237,[-0.02149072 -0.01575327  0.00502566  0.02722781],1,1.0,False
0,238,[-0.02180578  0.17929626  0.00557022 -0.26386523],1,1.0,False
0,239,[-0.01821986 -0.01590476  0.00029292  0.03056938],0,1.0,False
0,240,[-0.01853795  0.17921299  0.0009043  -0.26202112],1,1.0,False
0,241,[-0.01495369 -0.01592186 -0.00433612  0.0309469 ],0,1.0,False
0,242,[-0.01527213 -0.21098137 -0.00371718  0.3222586 ],0,1.0,False
0,243,[-0.01949176 -0.01580668  0.00272799  0.02840573],1,1.0,False
0,244,[-0.01980789  0.17927605  0.00329611 -0.26341525],1,1.0,False
0,245,[-0.01622237 -0.0158928  -0.0019722   0.03030549],0,1.0,False
0,246,[-0.01654023  0.17925738 -0.00136609 -0.26299903],1,1.0,False
0,247,[-0.01295508 -0.01584504 -0.00662607  0.0292527 ],0,1.0,False
0,248,[-0.01327198 -0.21087135 -0.00604102  0.3198377 ],0,1.0,False
0,249,[-0.01748941 -0.01566389  0.00035574  0.02525579],1,1.0,False
0,250,[-0.01780269  0.17945296  0.00086085 -0.26731488],1,1.0,False
0,251,[-0.01421363 -0.01568126 -0.00448544  0.02563944],0,1.0,False
0,252,[-0.01452725 -0.2107386  -0.00397266  0.3169038 ],0,1.0,False
0,253,[-0.01874202 -0.0155603   0.00236542  0.02297068],1,1.0,False
0,254,[-0.01905323  0.17952766  0.00282483 -0.26896498],1,1.0,False
0,255,[-0.01546268 -0.0156345  -0.00255447  0.02460757],0,1.0,False
0,256,[-0.01577537 -0.21071972 -0.00206231  0.31648344],0,1.0,False
0,257,[-0.01998976 -0.01556846  0.00426735  0.02315084],1,1.0,False
0,258,[-0.02030113  0.17949204  0.00473037 -0.26818264],1,1.0,False
0,259,[-0.01671129 -0.0156971  -0.00063328  0.02598852],0,1.0,False
0,260,[-1.7025230e-02  1.7943393e-01 -1.1351079e-04 -2.6689413e-01],1,1.0,False
0,261,[-0.01343655 -0.01568641 -0.00545139  0.02575298],0,1.0,False
0,262,[-0.01375028 -0.21072976 -0.00493633  0.31671095],0,1.0,False
0,263,[-0.01796488 -0.01553784  0.00139789  0.02247538],1,1.0,False
0,264,[-0.01827563  0.17956403  0.00184739 -0.26976618],1,1.0,False
0,265,[-0.01468435 -0.01558423 -0.00354793  0.02349886],0,1.0,False
0,266,[-0.01499604 -0.21065512 -0.00307795  0.31506026],0,1.0,False
0,267,[-0.01920914 -0.01548946  0.00322325  0.02140824],1,1.0,False
0,268,[-0.01951893  0.17958611  0.00365142 -0.27025598],1,1.0,False
0,269,[-0.01592721 -0.01558775 -0.0017537   0.02357639],0,1.0,False
0,270,[-0.01623896 -0.21068451 -0.00128218  0.31570548],0,1.0,False
0,271,[-0.02045265 -0.01554432  0.00503193  0.02261849],1,1.0,False
0,272,[-0.02076354  0.17950511  0.0054843  -0.26847258],1,1.0,False
0,273,[-0.01717344 -0.01569468  0.00011485  0.02593508],0,1.0,False
0,274,[-0.01748733  0.17942563  0.00063355 -0.2667116 ],1,1.0,False
0,275,[-0.01389882 -0.01570536 -0.00470068  0.02617108],0,1.0,False
0,276,[-0.01421292 -0.21075958 -0.00417726  0.3173672 ],0,1.0,False
0,277,[-0.01842812 -0.01557839  0.00217009  0.02336984],1,1.0,False
0,278,[-0.01873968  0.17951238  0.00263749 -0.2686276 ],1,1.0,False
0,279,[-0.01514944 -0.01564712 -0.00273507  0.02488603],0,1.0,False
0,280,[-0.01546238 -0.21072973 -0.00223735  0.31670475],0,1.0,False
0,281,[-0.01967697 -0.01557599  0.00409675  0.02331709],1,1.0,False
0,282,[-0.01998849  0.17948698  0.00456309 -0.26807046],1,1.0,False
0,283,[-0.01639875 -0.0156998  -0.00079832  0.0260482 ],0,1.0,False
0,284,[-0.01671275  0.17943358 -0.00027735 -0.2668865 ],1,1.0,False
0,285,[-0.01312408 -0.01568441 -0.00561508  0.02570894],0,1.0,False
0,286,[-0.01343777 -0.21072538 -0.00510091  0.31661496],0,1.0,False
0,287,[-0.01765227 -0.01553115  0.00123139  0.02232777],1,1.0,False
0,288,[-0.0179629   0.17957312  0.00167795 -0.2699664 ],1,1.0,False
0,289,[-0.01437143 -0.01557273 -0.00372138  0.0232453 ],0,1.0,False
0,290,[-0.01468289 -0.21064112 -0.00325647  0.31475177],0,1.0,False
0,291,[-0.01889571 -0.01547293  0.00303856  0.02104364],1,1.0,False
0,292,[-0.01920517  0.1796053   0.00345944 -0.27067903],1,1.0,False
0,293,[-0.01561306 -0.01556584 -0.00195415  0.023093  ],0,1.0,False
0,294,[-0.01592438 -0.21065971 -0.00149228  0.31515872],0,1.0,False
0,295,[-0.02013757 -0.01551653  0.00481089  0.02200557],1,1.0,False
0,296,[-0.0204479  0.1795361  0.005251  -0.2691556],1,1.0,False
0,297,[-0.01685718 -0.01566039 -0.00013211  0.02517889],0,1.0,False
0,298,[-0.01717039  0.17946345  0.00037147 -0.2675457 ],1,1.0,False
0,299,[-0.01358112 -0.0156638  -0.00497945  0.02525435],0,1.0,False
0,300,[-0.0138944  -0.21071398 -0.00447436  0.31636205],0,1.0,False
0,301,[-0.01810868 -0.01552859  0.00185288  0.02227144],1,1.0,False
0,302,[-0.01841925  0.17956674  0.00229831 -0.26982632],1,1.0,False
0,303,[-0.01482791 -0.01558794 -0.00309822  0.02358063],0,1.0,False
0,304,[-0.01513967 -0.21066532 -0.0026266   0.31528443],0,1.0,False
0,305,[-0.01935298 -0.01550605  0.00367908  0.02177431],1,1.0,False
0,306,[-0.0196631   0.17956294  0.00411457 -0.26974556],1,1.0,False
0,307,[-0.01607184 -0.01561748 -0.00128034  0.02423229],0,1.0,False
0,308,[-0.01638419 -0.21072105 -0.00079569  0.31651098],0,1.0,False
0,309,[-0.02059861 -0.01558777  0.00553453  0.02357722],1,1.0,False
0,310,[-0.02091037  0.17945437  0.00600607 -0.26735437],1,1.0,False
0,311,[-0.01732128 -0.01575278  0.00065898  0.02721685],0,1.0,False
0,312,[-0.01763634  0.17935972  0.00120332 -0.2652581 ],1,1.0,False
0,313,[-0.01404914 -0.01577939 -0.00410184  0.02780413],0,1.0,False
0,314,[-0.01436473 -0.21084228 -0.00354576  0.31919006],0,1.0,False
0,315,[-0.01858157 -0.01567001  0.00283804  0.02539105],1,1.0,False
0,316,[-0.01889497  0.17941113  0.00334586 -0.2663951 ],1,1.0,False
0,317,[-0.01530675 -0.01575841 -0.00198204  0.02734126],0,1.0,False
0,318,[-0.01562192 -0.21085188 -0.00143521  0.31939816],0,1.0,False
0,319,[-0.01983896 -0.01570952  0.00495275  0.02626298],1,1.0,False
0,320,[-0.02015315  0.17934105  0.00547801 -0.26485318],1,1.0,False
0,321,[-0.01656633 -0.01585866  0.00018094  0.0295525 ],0,1.0,False
0,322,[-0.0168835   0.1792607   0.000772   -0.26307333],1,1.0,False
0,323,[-0.01329829 -0.01587226 -0.00448947  0.029853  ],0,1.0,False
0,324,[-0.01361573 -0.21092954 -0.00389241  0.32111606],0,1.0,False
0,325,[-0.01783432 -0.01575238  0.00252991  0.02720818],1,1.0,False
0,326,[-0.01814937  0.1793332   0.00307407 -0.26467547],1,1.0,False
0,327,[-0.01456271 -0.01583249 -0.00221944  0.02897547],0,1.0,False
0,328,[-0.01487936 -0.21092254 -0.00163993  0.3209573 ],0,1.0,False
0,329,[-0.01909781 -0.01577728  0.00477922  0.02775767],1,1.0,False
0,330,[-0.01941335  0.17927581  0.00533437 -0.26341355],1,1.0,False
0,331,[-1.5827836e-02 -1.5921874e-02  6.6102199e-05  3.0947121e-02],0,1.0,False
0,332,[-0.01614627  0.17919913  0.00068504 -0.26171494],1,1.0,False
0,333,[-0.01256229 -0.01593259 -0.00454925  0.03118397],0,1.0,False
0,334,[-0.01288094 -0.21098901 -0.00392557  0.3224281 ],0,1.0,False
0,335,[-0.01710072 -0.01581138  0.00252299  0.02850979],1,1.0,False
0,336,[-0.01741695  0.17927429  0.00309318 -0.26337606],1,1.0,False
0,337,[-0.01383147 -0.01589167 -0.00217434  0.0302809 ],0,1.0,False
0,338,[-0.0141493   0.1792614  -0.00156872 -0.26308727],1,1.0,False
0,339,[-0.01056407 -0.01583813 -0.00683047  0.02910046],0,1.0,False
0,340,[-0.01088083 -0.21086146 -0.00624846  0.3196205 ],0,1.0,False
0,341,[-0.01509806 -0.01565108  0.00014395  0.02497361],1,1.0,False
0,342,[-0.01541108  0.17946881  0.00064343 -0.2676639 ],1,1.0,False
0,343,[-0.01182171 -0.01566232 -0.00470985  0.0252219 ],0,1.0,False
0,344,[-0.01213495 -0.21071641 -0.00420541  0.3164151 ],0,1.0,False
0,345,[-0.01634928 -0.01553482  0.00212289  0.02240891],1,1.0,False
